trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,5,-16.683907437866207,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,0,-108.39231630232767,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,14,11.424908120603376,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,7,-42.1892996584551,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,8,-29.47592820430389,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,1,-39.29550641624317,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,0,-0.5052272121429915,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,0,-75.15743049878638,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-9.929400725585305,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,7,-75.94334473856127,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-68.47875772767719,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",30,0,-38.93350179348,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,17,2.027011862679453,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",30,0,-64.181758717659,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-22.883056706481767,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",30,2,-12.178718644040863,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-27.13589625800833,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,6,-41.986406531761965,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,11,-7.50751994887314,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,3,-32.96215083035546,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,17,7.145060567537039,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-34.47455946059125,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,6,-0.5588939031021141,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,-54.285878726686576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,14,-1.8163373189650012,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,3,2.7232876073503496,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,4,-2.8805333419042176,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",30,0,-87.14978515108194,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,23,5.027971561205135,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,13,-2.0518642258043664,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,5,-2.60085963663574,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,0,3.5291186043219325,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",35,23,15.471725600724012,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,9,23.738546223959958,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,4.0647428153294936,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",30,0,-105.05285427876733,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,1.670436895287754,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,0,4.505845928676807,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-47.798825832340974,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",30,7,-73.7203724104741,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,16,-41.21959302488199,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",30,8,-25.54991788198656,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,14,1.6785721308266777,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,0,-33.605579703341576,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,13,11.65325885813715,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,2,31.14457172977135,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,11,-5.542734350043064,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,0,6.342056859948285,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,23,15.1796118686186,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",30,15,11.066319767058125,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-6.359392079496601,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,0,6.817796580084629,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
